Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANT_5020,1,KH-5020D245H05,C45359218
"C1, C2",C_0402,2,"1.8pF,50V",C327209
C10,C_0402,1,"10nF,50V",C15195
"C11, C15, C4, C7",C_0402,4,"100nF,50V",C307331
"C12, C13",C_0402,2,"15pF,50V",C1548
"C14, C8, C9",C_0402,3,"1uF,25V",C52923
"C3, C5, C6",C_0402,3,"10uF,10V",C386033
D1,SOD-323F,1,1N5819WS,C191023
"H1, H2",1x1_1.0piPad_SMD,2,MountingHole_Pad,
J1,"USB_DIP,8.94x7.3mm",1,USB_C_Receptacle_USB2.0_DIP,C165948
"J2, J3",1x10_P2.54_CastellatedPad_PinHeader,2,1x10_P2.54mm_Male_Vertiacal,C5383117
"L1, L2",L_0402,2,"2.7nH,800mA,120mR",C77108
LED1,LED_0603_Red,1,"LED,0603,Red",C2286
LED2,LED_0603_White,1,"LED,0603,White",C2290
LOGO1,SooDragonKOR_Mask_3.8x1.4,1,Geekble_Logo,
"R1, R2, R7, R8",R_0402,4,"5.1KR,1%",C25905
"R10, R5, R6, R9",R_0402,4,"10KR,1%",C25744
"R3, R4",R_0402,2,"33R,1%",C25105
"SW1, SW2",TS-1088-AR020,2,TS-1088-AR02016,C720477
"TH2, TH3, TH4, TH5",ToolingHole_JLCPCB,4,ToolingHole,
U1,SOT-23-5,1,LP5907MFX-3.3/NOPB,C80670
U2,QFN-32-EP(5x5),1,ESP32-C3FH4,C2858491
Y1,SMD-3225_4P,1,40MHz,C9010
