Comment,Designator,Footprint,LCSC
KH-5020D245M0X,ANT1,RadioFrequencyChip_Antenna:ANT_5020,C454142
"1.8pF,50V","C1,C2",Capacitors:C_0402,C327209
"10nF,50V",C10,Capacitors:C_0402,C15195
"15pF,50V","C12,C13",Capacitors:C_0402,C1548
"10uF,10V","C3,C5,C6",Capacitors:C_0402,C386033
"100nF,50V","C4,C7,C11,C15",Capacitors:C_0402,C307331
"1uF,25V","C8,C9,C14",Capacitors:C_0402,C52923
1N5819WS,D1,Diodes:SOD-323F,C191023
USB_C_Receptacle_USB2.0_DIP,J1,"Connectors:USB_DIP,8.94x7.3mm",C165948
"2.7nH,500mA,100mR","L1,L2",Inductors_Chokes_Transformers:L_0402,C76791
"LED,0603,Red",LED1,Diodes:LED_0603_Red,C2286
"LED,0603,White",LED2,Diodes:LED_0603_White,C2290
"5.1KR,1%","R1,R2,R7,R8",Resistors:R_0402,C25905
"33R,1%","R3,R4",Resistors:R_0402,C25105
"10KR,1%","R5,R6,R9,R10",Resistors:R_0402,C25744
TS-1088-AR02016,"SW1,SW2",Pushbutton_Switches_Relays:TS-1088-AR020,C720477
LP5907MFX-3.3/NOPB,U1,Power_Management_ICs:SOT-23-5,C80670
ESP32-C3FH4,U2,Embedded_Processors_Controllers:QFN-32-EP(5x5),C2858491
40MHz,Y1,Crystals:SMD-3225_4P,C9010
