Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANT_5020,1,KH-5020D245M0X,C454142
"C1, C2",C_0402,2,"1.8pF,50V",C327209
C10,C_0402,1,"10nF,50V",C15195
"C11, C15, C4, C7",C_0402,4,"100nF,50V",C307331
"C12, C13",C_0402,2,"15pF,50V",C1548
"C14, C8, C9",C_0402,3,"1uF,25V",C52923
"C3, C5, C6",C_0402,3,"10uF,10V",C386033
D1,SOD-323F,1,1N5819WS,C191023
J1,"USB_DIP,8.94x7.3mm",1,USB_C_Receptacle_USB2.0_DIP,C165948
"L1, L2",L_0402,2,"2.7nH,500mA,100mR",C76791
LED1,LED_0603_Red,1,"LED,0603,Red",C2286
LED2,LED_0603_White,1,"LED,0603,White",C2290
"R1, R2, R7, R8",R_0402,4,"5.1KR,1%",C25905
"R10, R5, R6, R9",R_0402,4,"10KR,1%",C25744
"R3, R4",R_0402,2,"33R,1%",C25105
"SW1, SW2",TS-1088-AR020,2,TS-1088-AR02016,C720477
U1,SOT-23-5,1,LP5907MFX-3.3/NOPB,C80670
U2,QFN-32-EP(5x5),1,ESP32-C3FH4,C2858491
Y1,SMD-3225_4P,1,40MHz,C9010
