Comment,Designator,Footprint,LCSC,Quantity
"10nF,50V",C10,C_0402,C15195,1
"15pF,50V","C12,C13",C_0402,C1548,2
USB_C_Receptacle_USB2.0_DIP,J1,"USB_DIP,8.94x7.3mm",C165948,1
1N5819WS,D1,SOD-323F,C191023,1
"LED,0603,Red",LED1,LED_0603_Red,C2286,1
"LED,0603,White",LED2,LED_0603_White,C2290,1
"33R,1%","R3,R4",R_0402,C25105,2
"10KR,1%","R10,R5,R6,R9",R_0402,C25744,4
"5.1KR,1%","R1,R2,R7,R8",R_0402,C25905,4
ESP32-C3FH4,U2,QFN-32-EP(5x5),C2858491,1
"100nF,50V","C11,C15,C4,C7",C_0402,C307331,4
"1.8pF,50V","C1,C2",C_0402,C327209,2
"10uF,10V","C3,C5,C6",C_0402,C386033,3
KH-5020D245H05,ANT1,ANT_5020,C45359218,1
"1uF,25V","C14,C8,C9",C_0402,C52923,3
1x10_P2.54mm_Male_Vertiacal,"J2,J3",1x10_P2.54_CastellatedPad_PinHeader,C5383117,2
TS-1088-AR02016,"SW1,SW2",TS-1088-AR020,C720477,2
"2.7nH,800mA,120mR","L1,L2",L_0402,C77108,2
LP5907MFX-3.3/NOPB,U1,SOT-23-5,C80670,1
40MHz,Y1,SMD-3225_4P,C9010,1
ToolingHole,TH4,ToolingHole_JLCPCB,,1
ToolingHole,TH5,ToolingHole_JLCPCB,,1
Geekble_Logo,Logo1,SooDragonKOR_Mask_3.8x1.4,,1
ToolingHole,TH3,ToolingHole_JLCPCB,,1
ToolingHole,TH2,ToolingHole_JLCPCB,,1
MountingHole_Pad,H2,1x1_1.0piPad_SMD,,1
MountingHole_Pad,H1,1x1_1.0piPad_SMD,,1
